Type,Settle,RollDate,Maturity,Rate,Basis,Frequency,CouponBasis
Cash,20160926,N/A,20160928,-0.007928,ACT/360,N/A,1
Cash,20160928,N/A,20160930,-0.007928,ACT/360,N/A,1
Cash,20160928,N/A,20161028,-0.008100,ACT/360,N/A,1
Cash,20160928,N/A,20161128,-0.007732,ACT/360,N/A,1
Cash,20160928,N/A,20161228,-0.007464,ACT/360,N/A,1
Cash,20160928,N/A,20170328,-0.006499911,ACT/360,N/A,1
Cash,20160928,N/A,20170628,-0.007082413,ACT/360,N/A,1
Cash,20160928,N/A,20170928,-0.006771031,ACT/360,N/A,1
Cash,20160928,N/A,20171228,-0.007046063,ACT/360,N/A,1
Cash,20160928,N/A,20180328,-0.006775519,ACT/360,N/A,1
Cash,20160928,N/A,20180628,-0.006972143,ACT/360,N/A,1
Swap,20160928,20160928,20180928,-0.0067368,ACT/360,1,1
Swap,20160928,20160928,20190930,-0.006536724,ACT/360,1,1
Swap,20160928,20160928,20200928,-0.006186054,ACT/360,1,1
Swap,20160928,20160928,20210928,-0.005684766,ACT/360,1,1
Swap,20160928,20160928,20220928,-0.005033173,ACT/360,1,1
Swap,20160928,20160928,20230928,-0.004331456,ACT/360,1,1
Swap,20160928,20160928,20240930,-0.003654896,ACT/360,1,1
Swap,20160928,20160928,20250929,-0.003003576,ACT/360,1,1
Swap,20160928,20160928,20260928,-0.00242755,ACT/360,1,1
Swap,20160928,20160928,20360929,0.000650096,ACT/360,1,1
